API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: April 12, 2021               Jupiter                              599
 
 PHYSICAL DATA:
  Mass x 10^22 (g)      = 189818722 +- 8817 Density (g/cm^3)  = 1.3262 +- .0003
  Equat. radius (1 bar) = 71492+-4 km       Polar radius (km)     = 66854+-10
  Vol. Mean Radius (km) = 69911+-6          Flattening            = 0.06487
  Geometric Albedo      = 0.52              Rocky core mass (Mc/M)= 0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s    Sid. rot. rate (rad/s)= 0.00017585
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686531.900     GM 1-sigma (km^3/s^2) =  +- 1.2732
  Equ. grav, ge (m/s^2) = 24.79             Pol. grav, gp (m/s^2) =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70             Obliquity to orbit    =  3.13 deg
  Sidereal orbit period = 11.861982204 y    Sidereal orbit period = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d   Mean orbit speed, km/s= 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K          Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76             Hill's sphere rad. Rp = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Fri May 10 08:56:19 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2006-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2007-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000, -6.706245714564167E+08, -4.607364859510835E+08,  1.691938402480718E+07,  7.240392069271270E+00, -1.016375278550244E+01, -1.199019057731014E-01,  2.714608652247796E+03,  8.138192003654342E+08, -2.147918757312967E-01,
2453737.500000000, A.D. 2006-Jan-02 00:00:00.0000, -6.699982679674902E+08, -4.616142595903364E+08,  1.690900880959955E+07,  7.256980744661569E+00, -1.015378542540910E+01, -1.202252079327883E-01,  2.714546406761982E+03,  8.138005396382424E+08, -2.175782257235792E-01,
2453738.500000000, A.D. 2006-Jan-03 00:00:00.0000, -6.693706935635804E+08, -4.624911124516793E+08,  1.689860524339744E+07,  7.270944814596514E+00, -1.014435376240047E+01, -1.206087176604145E-01,  2.714483691771038E+03,  8.137817381569537E+08, -2.178987651446568E-01,
2453739.500000000, A.D. 2006-Jan-04 00:00:00.0000, -6.687418165053519E+08, -4.633670658610189E+08,  1.688817338875946E+07,  7.285043153636662E+00, -1.013214199203486E+01, -1.208805824952859E-01,  2.714420460631751E+03,  8.137627819382849E+08, -2.199087281390739E-01,
2453740.500000000, A.D. 2006-Jan-05 00:00:00.0000, -6.681118578438934E+08, -4.642421368724416E+08,  1.687770990584308E+07,  7.298663296333689E+00, -1.012413316684078E+01, -1.213112025648995E-01,  2.714357351307056E+03,  8.137438622387117E+08, -2.191374250490131E-01,
2453741.500000000, A.D. 2006-Jan-06 00:00:00.0000, -6.674806343392845E+08, -4.651163716557629E+08,  1.686721539891878E+07,  7.311991668330485E+00, -1.011331903988940E+01, -1.216524692398435E-01,  2.714293949390350E+03,  8.137248548222605E+08, -2.197235554170566E-01,
2453742.500000000, A.D. 2006-Jan-07 00:00:00.0000, -6.668482460218804E+08, -4.659898276304525E+08,  1.685668588699380E+07,  7.327291784229900E+00, -1.010462269813931E+01, -1.220410354770385E-01,  2.714230638548660E+03,  8.137058747094125E+08, -2.207154919362551E-01,
2453743.500000000, A.D. 2006-Jan-08 00:00:00.0000, -6.662146162080922E+08, -4.668624034765620E+08,  1.684612651003018E+07,  7.339922292334689E+00, -1.009518612365837E+01, -1.224381947625202E-01,  2.714167016498568E+03,  8.136868012986321E+08, -2.199412166740283E-01,
